id;ime;prezime;email;lozinka;uloga
1;Petar;Pavlovic;pera@gmail.com;Perica123;USER
2;Mirko;Cemes;mirko@gmail.com;Mirko123;AGENT
3;Marko;Markovic;marko@gmail.com;Marko123;USER
4;Nemanja;Janic;nemanja@gmail.com;Nemanja123;USER
5;Marko;Markovic;marko@gmail.com;Marko123;USER
6;Marko;Markovic;marko1@gmail.com;Marko123;USER
7;fsafsa;fasfsa;fsafsa@gmail.com;fsafasfsa;USER
8;fsafsa;fsafsa;ffsafsa@gmail.com;ffsafsa;USER
9;fasfasfasf;fsafsa;afas@gmail.com;asfasfsa;USER
10;fsafas;fsafsa;fsafas@gmail.com;fasfsa;USER
11;fasfas;fasfasfasf;fsafsa@gmail.com;sfsafsafsa;USER
12;asfsaf;fasfsafas;fsafa@gmail.com;asfasfas;USER
13;safasf;fasfas;fsafas@gmail.com;fasfasf;USER
14;fasfsa;fasfas;fasfsa@gmail.com;fasfsafas;USER
15;fasfas;fasfasf;fsafs@gmail.com;asfsafas;USER
16;Marko;Markovic;marko@gmail.com;Marko123;USER
17;Milosina;Milic;Miki@gmail.com;Miki123;USER
18;Pera;Peric;pera@gmail.com;Perica123;USER
19;Jovan;Salajic;jovan@gmail.com;Jovan123;USER
